No,Movie_Name,Year_Started,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
300,The Punisher,2017,"Action,Crime,Drama",57,TV-MA,TomShankland,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","A mysterious phone call forces Frank's hand. Meanwhile, Madani goes digging for suspects and Curtis delivers a message.",8.3,NA,6253,NA,Marvel
301,The Punisher,2017,"Action,Crime,Drama",58,TV-MA,AndyGoddard,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah",Frank skips the subtlety while interrogating Micro. Brutal memories of top-secret missions shed light on Frank's past.,8.5,NA,6003,NA,Marvel
302,The Punisher,2017,"Action,Crime,Drama",49,TV-MA,KariSkogland,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","Madani and Sam plan a delicate operation, Curtis tries to connect with Lewis, and Frank encourages Micro to get his hands dirty.",8.4,NA,5665,NA,Marvel
303,The Punisher,2017,"Action,Crime,Drama",55,TV-MA,DearbhlaWalsh,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah",Frank and Micro go looking for answers from a reluctant witness. Madani and Sam learn of a looming investigation. Rawlins sees a ghost.,8.7,NA,5654,NA,Marvel
304,The Punisher,2017,"Action,Crime,Drama",55,TV-MA,JeremyWebb,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","With Frank in bad shape, Micro calls on Curtis for help. Madani and Russo continue to mix business with pleasure. Lewis stands up for his rights.",8.3,NA,5396,NA,Marvel
305,The Punisher,2017,"Action,Crime,Drama",49,TV-MA,AndyGoddard,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah",Lewis struggles with the ramifications of his actions. Frank and Micro pursue another face from the past. Madani and Sam go bug hunting.,8.7,NA,5407,NA,Marvel
306,The Punisher,2017,"Action,Crime,Drama",53,TV-MA,AntonioCampos,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","Russo opens up to Madani about his past, Sarah shares her concerns about her son with Frank, and a decoy operation takes a turn.",8.8,NA,5488,NA,Marvel
307,The Punisher,2017,"Action,Crime,Drama",54,TV-MA,MarcJobst,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","Following a deadly explosion, Karen lands in a bomber's crosshairs -- and Frank isn't happy about it. Meanwhile, Curtis makes a grisly discovery.",9,NA,5600,NA,Marvel
308,The Punisher,2017,"Action,Crime,Drama",49,TV-MA,JimO'Hanlon,"JonBernthal,BenBarnes,AmberRoseRevah,DanielWebber",An attack on a high-profile politician is examined (and reexamined) through different perspectives. Madani faces a painful truth.,9.2,NA,6391,NA,Marvel
309,The Punisher,2017,"Action,Crime,Drama",52,TV-MA,KevinHooks,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","As danger knocks on Sarah's door, Frank takes his quest for vengeance to the next level with some help from an unexpected ally.",9.3,NA,6751,NA,Marvel
